operator_id,operator_family,source_operator_id,channel_definition,electrode_terms,signed_weights,reference_definition,is_legal,legality_residual,rank,condition_number,split,legality_reason,A_hash,B_hash,A_matrix,B_matrix,effective_rank,family,legal,signal_consistency_residual,positive_terms,negative_terms,total_terms,reference_pool_size
local_average_test,local_average,eegmmidb_car64,F1-mean(nearest4)|F2-mean(nearest4)|C1-mean(nearest4)|C2-mean(nearest4)|P1-mean(nearest4)|P2-mean(nearest4)|PO7-mean(nearest4)|PO8-mean(nearest4)|T9-mean(nearest4)|T10-mean(nearest4)|FC1-mean(nearest4)|FC2-mean(nearest4),60,True,fixed four-neighbour geometric average,True,0.0,12,5.618431668489872,test,linear transformation of audited source observation,a02590719f7787b1626fd299d32a8bc0acb051e787a699d9a68aeb82905002a6,37f8a27b1bc64416c3ee242875f1133d3439e8a35ef78de98df559fd0d0e3768,operators/local_average_test.npz::A_matrix,operators/local_average_test.npz::B_matrix,12,local_average,True,2.9366143415809467e-16,12,48,60,48
laplacian_test,laplacian,eegmmidb_car64,F1-weighted(nearest4)|F2-weighted(nearest4)|C1-weighted(nearest4)|C2-weighted(nearest4)|P1-weighted(nearest4)|P2-weighted(nearest4)|PO7-weighted(nearest4)|PO8-weighted(nearest4)|T9-weighted(nearest4)|T10-weighted(nearest4)|FC1-weighted(nearest4)|FC2-weighted(nearest4),414,True,fixed weighted graph Laplacian,True,0.0,12,8.073377029613026,test,linear transformation of audited source observation,4ed4cbc9b415fc536b112a6b4f4b097eac6eac5cb43d44387017225fe822dca2,b0b9617860fca34cb484e9e3b69429bd3b5f219c6b6b9aeff25b8b62bf27d2da,operators/laplacian_test.npz::A_matrix,operators/laplacian_test.npz::B_matrix,12,laplacian,True,3.305050218259865e-16,12,48,60,48
weighted_reference_test,weighted_reference,eegmmidb_car64,F1-weighted_pool|F2-weighted_pool|C1-weighted_pool|C2-weighted_pool|P1-weighted_pool|P2-weighted_pool|PO7-weighted_pool|PO8-weighted_pool|T9-weighted_pool|T10-weighted_pool|FC1-weighted_pool|FC2-weighted_pool,768,True,fixed six-electrode weighted reference,True,0.0,12,4.618997469620111,test,linear transformation of audited source observation,3074d0819c00f3b9409ed64829d9e31b32c339d7008674d118467de2e93fe916,2901e1363b83e45c27abe378c9d4a36d0e4cf0a6dc54fe243a0c6464cedfcef5,operators/weighted_reference_test.npz::A_matrix,operators/weighted_reference_test.npz::B_matrix,12,weighted_reference,True,2.865230150722668e-16,12,72,84,72
sparse_subset_train,sparse_subset,eegmmidb_car64,F3|C3|P3|O1|F4|C4|P4|O2,512,True,fixed sparse electrode subset,True,0.0,8,1.4275030465621141,train,linear transformation of audited source observation,8040e7db1b7ff06bbe0e0b6b868a5f20da0d33a9c1d4e62a17410ab3f7962ec4,601f5d72a207f2d2cb750cb1d11946c2e9534653b1c5c0ee3173cf5ab9e3634c,operators/sparse_subset_train.npz::A_matrix,operators/sparse_subset_train.npz::B_matrix,8,sparse_subset,True,0.0,8,504,512,504
sparse_subset_validation,sparse_subset,eegmmidb_car64,FC3|CP3|PO3|FC4|CP4|PO4|C5|P5,512,True,fixed sparse electrode subset,True,0.0,8,2.285496651808014,validation,linear transformation of audited source observation,18be8e1d5a4a6d89e84f5ce88619b75db50a3ff8a7e71e5678348ac587282497,71796682c99bd1072595c0f8666a3d6737aa8d4588679d46428620d915f31ae1,operators/sparse_subset_validation.npz::A_matrix,operators/sparse_subset_validation.npz::B_matrix,8,sparse_subset,True,0.0,8,504,512,504
sparse_subset_test,sparse_subset,eegmmidb_car64,F3|F4|C3|C4|P3|P4|O1|O2,512,True,held-out sparse electrode subset,True,0.0,8,1.4275030465621146,test,linear transformation of audited source observation,1780856d2f54b2955f4cd34dde48ac8e91402ad71e85e0b140a2ee132331aa6e,a2d2df92e158284f024c4542fb1362866cdef4e61ba38ec572edc3893f5ec73a,operators/sparse_subset_test.npz::A_matrix,operators/sparse_subset_test.npz::B_matrix,8,sparse_subset,True,0.0,8,504,512,504
bipolar_train,bipolar,eegmmidb_car64,F3-C3|C3-P3|F4-C4|C4-P4,8,True,explicit two-electrode derivation,True,0.0,4,1.8667259657843287,train,linear transformation of audited source observation,77a7b7daaccfbf35130c1f4ddc98f5c68429ee945338a8bb64fa9ff85382cd48,b7a658a3dff4cb74f45cd524e2ee996bac664194c012f183b4b58a47c4f4a2ac,operators/bipolar_train.npz::A_matrix,operators/bipolar_train.npz::B_matrix,4,bipolar,True,2.9353263134470317e-16,4,4,8,4
bipolar_validation,bipolar,eegmmidb_car64,FC3-CP3|CP3-PO3|FC4-CP4|CP4-PO4,8,True,explicit two-electrode derivation,True,0.0,4,1.893930234514883,validation,linear transformation of audited source observation,4a4d2caa41de9f094e9937960e836353bd8e176cb6e0baf923287c324af53297,4a535b4ac029fcf61856d2f3a7c7029b29e7ca1827e71ead89b7a3fe16c3ebbd,operators/bipolar_validation.npz::A_matrix,operators/bipolar_validation.npz::B_matrix,4,bipolar,True,3.322211210626806e-16,4,4,8,4
bipolar_test,bipolar,eegmmidb_car64,F1-P1|C1-O1|F2-P2|C2-O2|T9-P7|T10-P8,12,True,explicit two-electrode derivation,True,0.0,6,1.4541569686380886,test,linear transformation of audited source observation,548f08454347c60191430380ff9f3b610d867b83f5c3aee04c8ff72470591d8f,9c098122f68b6f3aad363c2145d343871b92d6584bba2cc5ec75f0a3350869d6,operators/bipolar_test.npz::A_matrix,operators/bipolar_test.npz::B_matrix,6,bipolar,True,2.3256427060104066e-16,6,6,12,6
polarity_diagnostic,polarity,eegmmidb_car64,reverse(F1-P1)|reverse(C1-O1)|reverse(F2-P2)|reverse(C2-O2)|reverse(T9-P7)|reverse(T10-P8),12,True,sign reversal diagnostic; excluded from Gate A/B,True,0.0,6,1.4541569686380886,test,linear transformation of audited source observation,e3e3e6ab56d5f1f2be43198e68d371e9c63c8101732281e98fb117dc716ebff3,fdd6e48d826a71318410ce7e8104e0505fce1ae8937bcc108579368f8649d726,operators/polarity_diagnostic.npz::A_matrix,operators/polarity_diagnostic.npz::B_matrix,6,polarity,True,2.3256427060104066e-16,6,6,12,6
