iteration,model_id,diagnosis,hypothesis,architecture,features,loss,grouped_validation,BA,Delta_BA_vs_B_STRONG,Macro_F1,NLL,Brier,switch_rate,rescue_count,harm_count,worst_subject_effect,positive_subject_fraction,result,OUTER_TEST_USED
11,M1_KEEP_NO_SESSION_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_KEEP_NO_SESSION_LINEAR,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8462500000000001,-0.0001923076923076,0.8444210956002902,0.3505041945181258,0.1089333497381374,0.0296153846153846,153.0,155.0,-0.025,0.3461538461538461,ABANDON,False
12,M2_KEEP_ACTION_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M2_KEEP_ACTION_LINEAR,KEEP_ACTION,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8459615384615385,-0.0004807692307692,0.8444816943751496,0.3528021995623837,0.1097651202156596,0.0239423076923076,122.0,127.0,-0.0449999999999999,0.4038461538461538,ABANDON,False
13,M3_KEEP_ACTION_PERSIST_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M3_KEEP_ACTION_PERSIST_LINEAR,KEEP_ACTION_PERSIST,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8457692307692308,-0.0006730769230769,0.8443022161684636,0.353676048776269,0.1102008901224309,0.0233653846153846,118.0,125.0,-0.04,0.3846153846153846,ABANDON,False
14,M2_BOUNDED_RESIDUAL,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M2_BOUNDED_RESIDUAL,KEEP_ACTION bounded offset,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8455769230769232,-0.0008653846153846,0.8438556231826564,0.3519857542196708,0.1095890532009593,0.0402884615384615,205.0,214.0,-0.045,0.4230769230769231,ABANDON,False
15,M1_KEEP_SUMMARY_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_KEEP_SUMMARY_LINEAR,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8454807692307692,-0.0009615384615384,0.8444198958008478,0.3547195799342976,0.1104723045223977,0.0246153846153846,123.0,133.0,-0.0350000000000001,0.2307692307692307,ABANDON,False
16,M1_B6_THRESHOLD_ONLY,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_B6_THRESHOLD_ONLY,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8452884615384616,-0.0011538461538461,0.8438128714988633,0.3653566490828355,0.1139011059629209,0.0184615384615384,90.0,102.0,-0.03,0.2692307692307692,ABANDON,False
17,M1_B4_THRESHOLD_ONLY,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_B4_THRESHOLD_ONLY,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8450961538461541,-0.0013461538461538,0.8436318559857111,0.3708690555960082,0.1155699933884039,0.0198076923076923,96.0,110.0,-0.0349999999999999,0.3076923076923077,ABANDON,False
18,M3_BOUNDED_RESIDUAL_PERSIST,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M3_BOUNDED_RESIDUAL_PERSIST,KEEP_ACTION_PERSIST bounded offset,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8439423076923076,-0.0025,0.8422010253711107,0.3544190216122788,0.1107468373467893,0.0386538461538461,188.0,214.0,-0.0449999999999999,0.4230769230769231,ABANDON,False
19,M2_KEEP_ACTION_HGB,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M2_KEEP_ACTION_HGB,KEEP_ACTION,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8421153846153846,-0.004326923076923,0.8401913292065741,0.3554764669799647,0.1103130644582523,0.03875,179.0,224.0,-0.045,0.2884615384615384,ABANDON,False
20,M3_KEEP_ACTION_PERSIST_HGB,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M3_KEEP_ACTION_PERSIST_HGB,KEEP_ACTION_PERSIST,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8419230769230768,-0.0045192307692307,0.839971278825829,0.3562517255373859,0.1107551853271897,0.0391346153846153,180.0,227.0,-0.0399999999999999,0.3846153846153846,ABANDON,False
100,WBCIC_STATIC_AUDIT,probability mean selected as the strongest static reference,convert legal frozen expert diversity into grouped unseen-subject gain,STATIC ENSEMBLE AUDIT,legal frozen development expert outputs only,cross-entropy or matched static evaluation,five subject-disjoint folds; disjoint inner calibration where trainable,0.8036257390983,0.0,,,,,,,,,REFERENCE,False
101,WBCIC_DIRECT_TRANSFER,OpenBMI masked pool did not transfer above the corrected WBCIC reference,convert legal frozen expert diversity into grouped unseen-subject gain,MASKED POSITIVE POOL,legal frozen development expert outputs only,cross-entropy or matched static evaluation,five subject-disjoint folds; disjoint inner calibration where trainable,0.8019273527962552,-0.0016983863020448,,,,,,,,,ABANDON,False
102,WBCIC_KEEP_SEARCH,generic raw linear stacking showed a positive but non-robust signal,convert legal frozen expert diversity into grouped unseen-subject gain,LINEAR/HGB/DEEPSETS/POOL SEARCH,legal frozen development expert outputs only,cross-entropy or matched static evaluation,five subject-disjoint folds; disjoint inner calibration where trainable,0.8067887718649914,0.0031630327666913,,,,,,,,,MODIFY,False
103,WBCIC_LINEAR_REFINEMENT,threshold shrinkage and anchored residuals did not make the gain robust,convert legal frozen expert diversity into grouped unseen-subject gain,TARGETED LINEAR/RESIDUAL REFINEMENT,legal frozen development expert outputs only,cross-entropy or matched static evaluation,five subject-disjoint folds; disjoint inner calibration where trainable,0.8060584503572309,0.0024327112589307,,,,,,,,,ABANDON,False
104,FINAL_ABLATIONS,dynamic KEEP is robust on OpenBMI; ACTION and PERSIST increments are unsupported,convert legal frozen expert diversity into grouped unseen-subject gain,A0-A9 MATCHED ABLATION,legal frozen development expert outputs only,cross-entropy or matched static evaluation,five subject-disjoint folds; disjoint inner calibration where trainable,0.8509615384615383,0.0045192307692307,,,,,,,,,KEEP,False
